#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
6.64134000e+02 8.33864892e-03 8.166352782729561113e+03 1.384211523291144772e+02 1.888044761706289864e+04 
7.06907000e+02 8.18200461e-03 8.339826466940086902e+03 1.501592560183650562e+02 1.927202656443131855e+04 
7.07203000e+02 8.89292223e-03 8.017293941503586211e+03 1.382037179514100558e+02 1.966360551179973845e+04 
7.54497000e+02 8.06704187e-03 8.217096799654016650e+03 1.625535424136512290e+02 2.005518445916816199e+04 
8.66649000e+02 9.73194316e-03 9.084465220706648324e+03 1.547508023141869273e+02 2.044676340653658190e+04 
7.29449000e+02 6.49632779e-03 7.356013191322832427e+03 1.951785019766234939e+02 2.083834235390500544e+04 
6.94876000e+02 8.89907499e-03 6.758548433672067404e+03 1.357014625989756098e+02 2.122992130127342534e+04 
9.98911000e+02 9.86438321e-03 9.360653696829962428e+03 1.759718549457658696e+02 2.162150024864184525e+04 
1.04336000e+03 1.20317905e-02 9.446638196188983784e+03 1.506578453372054298e+02 2.201307919601026515e+04 
4.71018000e+02 5.40193490e-03 9.231609730977270374e+03 1.515670241069314557e+02 1.496465814337868687e+04 
3.82391000e+02 4.19638476e-03 6.722789978167013032e+03 1.491995546082024475e+02 1.535623709074710860e+04 
5.47563000e+02 5.05353085e-03 9.578557099398323771e+03 1.862840136839564025e+02 1.574781603811552850e+04 
4.38547000e+02 4.96909955e-03 7.289167614091153155e+03 1.512139602089237655e+02 1.613939498548395022e+04 
4.38539000e+02 4.82557628e-03 6.623988179655443673e+03 1.545340712206931357e+02 1.686744170552265496e+04 
6.45429000e+02 8.24736467e-03 9.498368925535434755e+03 1.360118875973124375e+02 1.725902065289107486e+04 
4.93639000e+02 5.63960491e-03 6.952036993255876951e+03 1.521509390915876452e+02 1.765059960025949840e+04 
6.39831000e+02 8.18683506e-03 8.616366285200567290e+03 1.358295995573740527e+02 1.804217854762791831e+04 
5.39538000e+02 5.93615152e-03 6.962701631781378637e+03 1.579892768418511366e+02 1.843375749499633821e+04 
6.04250000e+02 6.53299258e-03 7.472458045887456137e+03 1.607697823341545416e+02 1.882533644236475811e+04 
6.44307000e+02 7.52522854e-03 7.645931730097981927e+03 1.488142442671995411e+02 1.921691538973318166e+04 
6.31455000e+02 7.19378466e-03 7.197033210678971045e+03 1.525685207501671243e+02 1.960849433710160156e+04 
7.62877000e+02 6.84731334e-03 8.350491105465589499e+03 1.936560654720816501e+02 2.000007328447002510e+04 
7.65162000e+02 9.08840644e-03 8.064401631731602720e+03 1.463119889147650952e+02 2.039165223183844500e+04 
8.18611000e+02 7.20631775e-03 8.296526574467030514e+03 1.974472203992000345e+02 2.078323117920686491e+04 
9.92571000e+02 1.00824193e-02 9.699397394820134650e+03 1.710698836516071992e+02 2.117481012657528481e+04 
9.21770000e+02 1.03128828e-02 8.686773835361140300e+03 1.553125989030778840e+02 2.156638907394370835e+04 
9.75042000e+02 9.95201162e-03 8.860247519571665180e+03 1.702527312764829048e+02 2.195796802131212826e+04 
4.31366000e+02 5.07429619e-03 8.446896676162818039e+03 1.464401258731635380e+02 1.490954696868054998e+04 
5.11142000e+02 4.51854955e-03 9.207194887992718577e+03 1.888822311363214226e+02 1.530112591604896988e+04 
5.36532000e+02 6.10604550e-03 9.554142256413771975e+03 1.527363967134656093e+02 1.569270486341739161e+04 
5.53464000e+02 6.89366855e-03 9.380668572203245276e+03 1.395487297025755993e+02 1.608428381078581333e+04 
5.38921000e+02 5.13599081e-03 8.648317448051750034e+03 1.811436015666801609e+02 1.647586275815423505e+04 
5.19010000e+02 6.59212228e-03 7.529486875533359125e+03 1.368498606943773268e+02 1.738775077806265472e+04 
4.98718000e+02 5.01013446e-03 6.835592138691254149e+03 1.708213681937011188e+02 1.777932972543107462e+04 
5.15219000e+02 5.75240654e-03 6.844532933031088760e+03 1.556877811968508070e+02 1.817090867279949452e+04 
5.90359000e+02 5.29225946e-03 7.511012971305090105e+03 1.939103782939368728e+02 1.856248762016791807e+04 
5.97568000e+02 5.22773875e-03 7.270765815872767234e+03 1.981298864600086915e+02 1.895406656753633797e+04 
7.80502000e+02 8.65783604e-03 9.136787337832145568e+03 1.566739997726485001e+02 1.934564551490475787e+04 
7.43750000e+02 8.23066118e-03 8.364241309924638699e+03 1.570506521889529949e+02 1.973722446227318142e+04 
8.89018000e+02 9.11716986e-03 9.611171086059675872e+03 1.694599673241305027e+02 2.012880340964160132e+04 
7.58372000e+02 6.57421941e-03 7.885375038294246224e+03 2.005130185891141537e+02 2.052038235701002122e+04 
7.07297000e+02 8.20344273e-03 7.087054290157013384e+03 1.498488310200282569e+02 2.091196130437844113e+04 
7.44232000e+02 7.71512921e-03 7.182539507112306637e+03 1.676611785047424803e+02 2.130354025174686467e+04 
7.77037000e+02 8.58265148e-03 7.232580886689133877e+03 1.573461548830306356e+02 2.169511919911528457e+04 
7.45489000e+02 8.40257450e-03 6.695513867792255951e+03 1.541946874424685916e+02 2.208669814648370811e+04 
4.93011000e+02 4.04502232e-03 8.917276349217569077e+03 1.971929075773448403e+02 1.503827709385212802e+04 
4.25222000e+02 4.49957214e-03 7.538427669873193736e+03 1.577315295477317534e+02 1.542985604122054792e+04 
4.89397000e+02 5.36246022e-03 8.579269775136352109e+03 1.586407083174577508e+02 1.582143498858896965e+04 
5.81826000e+02 5.10234190e-03 9.620111880399510483e+03 1.964807074157625948e+02 1.621301393595739137e+04 
6.07532000e+02 5.70172469e-03 9.657208390463725664e+03 1.852172520726598179e+02 1.660459288332581127e+04 
6.45089000e+02 5.62460938e-03 9.784644770270200752e+03 1.993646204937124367e+02 1.699617183069423481e+04 
4.75868000e+02 5.04930415e-03 6.615754263360326149e+03 1.620787993465684735e+02 1.767467269207677236e+04 
5.16948000e+02 4.80964963e-03 6.789227947570852848e+03 1.824894242845738574e+02 1.806625163944519227e+04 
6.08603000e+02 7.33879672e-03 7.830070052834011221e+03 1.441402759983974704e+02 1.845783058681361581e+04 
5.78415000e+02 6.11915275e-03 7.136175315991905336e+03 1.643066244394177033e+02 1.884940953418203571e+04 
6.37418000e+02 6.65447333e-03 7.543980579100023533e+03 1.664984547935153216e+02 1.924098848155045562e+04 
8.24431000e+02 8.98706715e-03 9.370851824617469902e+03 1.594247705829889981e+02 1.963256742891887552e+04 
6.51878000e+02 7.96537006e-03 7.125510677466403649e+03 1.422383384087854381e+02 2.002414637628729906e+04 
7.66025000e+02 8.00595184e-03 8.049907928164938312e+03 1.662983075126402639e+02 2.041572532365571897e+04 
8.02931000e+02 9.41277775e-03 8.127896395420170848e+03 1.482389146925515604e+02 2.080730427102414251e+04 
7.08605000e+02 8.05740382e-03 6.908737100782819653e+03 1.528488647245748950e+02 2.119888321839256241e+04 
8.93228000e+02 9.79052950e-03 8.396855296585990800e+03 1.585419572413053118e+02 2.159046216576098232e+04 
9.21097000e+02 1.08785416e-02 8.358725021760707023e+03 1.471210032319422680e+02 2.198204111312940222e+04 
4.17377000e+02 4.67831119e-03 7.983062350933258131e+03 1.505017600473415769e+02 1.493362006049782394e+04 
5.35749000e+02 4.76607848e-03 9.752030783608848651e+03 1.903735361886737110e+02 1.532519900786624567e+04 
5.32875000e+02 4.42797225e-03 9.044385842307694475e+03 1.997882601461885201e+02 1.571677795523466557e+04 
5.61296000e+02 6.01602283e-03 9.483734706253198965e+03 1.621775504227209126e+02 1.610835690260308729e+04 
5.84212000e+02 5.24982984e-03 9.391333210728746053e+03 1.930999506003633144e+02 1.649993584997150901e+04 
6.33443000e+02 5.99696682e-03 9.727615940624298673e+03 1.836073357451831498e+02 1.689151479733992892e+04 
5.87372000e+02 7.24785399e-03 8.620370360373344738e+03 1.408577467149895313e+02 1.728309374470834882e+04 
6.72438000e+02 5.96887158e-03 8.711188678345690278e+03 1.958277783884493033e+02 1.838857828602266454e+04 
5.67439000e+02 5.19087103e-03 7.023559526468445256e+03 1.891777338303990632e+02 1.878015723339108808e+04 
6.00801000e+02 5.83588911e-03 7.164065602884037617e+03 1.789525821793106957e+02 1.917173618075950799e+04 
6.10283000e+02 7.84738017e-03 6.990591918673510918e+03 1.351646541982591145e+02 1.956331512812792789e+04 
6.77241000e+02 7.79537724e-03 7.452443170514172380e+03 1.509972291154299739e+02 1.995489407549634780e+04 
6.95984000e+02 7.44947987e-03 7.364953985662667037e+03 1.623862831136041791e+02 2.034647302286477134e+04 
8.64382000e+02 9.08426315e-03 8.804474188693329779e+03 1.653613286299764127e+02 2.073805197023319124e+04 
8.21646000e+02 8.04047340e-03 8.058848722504772013e+03 1.776067594614169991e+02 2.112963091760161115e+04 
8.61297000e+02 9.10362498e-03 8.146337907356277356e+03 1.644198390935569591e+02 2.152120986497003469e+04 
9.95926000e+02 1.05683284e-02 9.090750033428095776e+03 1.637476839831747952e+02 2.191278881233845459e+04 
8.32721000e+02 9.96050807e-03 7.337539287094563406e+03 1.452774021619363793e+02 2.230436775970687449e+04 
4.59531000e+02 5.55002450e-03 8.666758959987855633e+03 1.439235449049036504e+02 1.525594670707529622e+04 
4.33789000e+02 4.31139736e-03 7.389408604634361836e+03 1.659231252188673409e+02 1.564752565444371794e+04 
5.28696000e+02 5.60388334e-03 9.013706328408909030e+03 1.639961994410808757e+02 1.603910460181213784e+04 
5.11483000e+02 5.39485212e-03 8.311607921135924698e+03 1.648052137582580485e+02 1.643068354918056139e+04 
6.00341000e+02 6.41133262e-03 9.297619130950151884e+03 1.627614654073771021e+02 1.682226249654898129e+04 
6.44699000e+02 7.35509680e-03 9.534127381040489126e+03 1.523510863724627029e+02 1.721384144391740119e+04 
6.85537000e+02 7.23691653e-03 9.689159553314908408e+03 1.646491284683941956e+02 1.760542039128582110e+04 
7.30224000e+02 8.86914558e-03 9.881074749461540705e+03 1.430855718078387611e+02 1.799699933865424464e+04 
5.27150000e+02 4.97647449e-03 6.643644550252458430e+03 1.814318945094905757e+02 1.852078681693420367e+04 
5.56114000e+02 5.72341150e-03 6.817118234462985129e+03 1.688981707352395460e+02 1.891236576430262357e+04 
6.18970000e+02 6.69969747e-03 7.278969486303645681e+03 1.605874942942161567e+02 1.930394471167104348e+04 
5.90094000e+02 5.16154578e-03 6.629504467819375350e+03 1.975459714753524736e+02 1.969552365903946702e+04 
8.20882000e+02 8.54304025e-03 8.910991536496123445e+03 1.669962331456275422e+02 2.008710260640788692e+04 
7.28562000e+02 6.54951318e-03 7.607475342788592570e+03 1.933576978944826976e+02 2.047868155377631047e+04 
7.64463000e+02 6.82150894e-03 7.684486655515616803e+03 1.947931916356205875e+02 2.087026050114473037e+04 
8.78155000e+02 7.78897178e-03 8.503483403564838227e+03 1.959559153468477462e+02 2.126183944851315027e+04 
1.01939000e+03 1.01828922e-02 9.525923710609607951e+03 1.739574493450445516e+02 2.165341839588157018e+04 
9.09931000e+02 9.90477018e-03 8.204907708147195081e+03 1.596422049606934195e+02 2.204499734324999372e+04 
4.64437000e+02 4.66121494e-03 8.789839969411093989e+03 1.678434665446808367e+02 1.499657629061841362e+04 
4.83361000e+02 4.81511406e-03 8.758296368573708605e+03 1.705330752508907040e+02 1.538815523798683535e+04 
4.46683000e+02 3.97727414e-03 7.309649000202432035e+03 1.808632575922723618e+02 1.577973418535525525e+04 
5.56165000e+02 5.69934848e-03 9.324895241324908056e+03 1.696272266241775526e+02 1.617131313272367697e+04 
5.67642000e+02 7.11913232e-03 9.072276129199826755e+03 1.385890282924129906e+02 1.656289208009209688e+04 
5.02182000e+02 5.39431953e-03 7.664830284918602047e+03 1.618244865247132509e+02 1.695447102746051678e+04 
6.78106000e+02 7.06268729e-03 9.872871079030661349e+03 1.668837651345182564e+02 1.734604997482894032e+04 
6.89059000e+02 6.50295657e-03 9.592697181831405032e+03 1.841826653198311021e+02 1.773762892219736023e+04 
6.29364000e+02 6.46737512e-03 8.390570483864543348e+03 1.691524835570947971e+02 1.812920786956578377e+04 
5.47732000e+02 5.82468699e-03 6.671059248820562061e+03 1.634593910403643804e+02 1.897424845767237275e+04 
5.91558000e+02 5.97358716e-03 6.913580605946486685e+03 1.721366452629037553e+02 1.936582740504079266e+04 
7.69263000e+02 7.87244892e-03 8.631000504482803080e+03 1.698351496179034257e+02 1.975740635240921256e+04 
7.24809000e+02 7.30598314e-03 7.819405414308508625e+03 1.724350128405027078e+02 2.014898529977763610e+04 
7.34581000e+02 7.60173197e-03 7.625916854724699078e+03 1.679566811988201209e+02 2.054056424714605600e+04 
8.44513000e+02 8.86196119e-03 8.442892600990042411e+03 1.656156414518316353e+02 2.093214319451447955e+04 
8.00677000e+02 8.12853657e-03 7.711901354083720435e+03 1.711980206100056421e+02 2.132372214188289945e+04 
8.43381000e+02 9.67597934e-03 7.838303969129127836e+03 1.514682730307789882e+02 2.171530108925131935e+04 
8.89722000e+02 8.77434065e-03 7.972864223145750657e+03 1.762261677676210923e+02 2.210688003661973926e+04 
4.31518000e+02 4.18202970e-03 7.870149431232964162e+03 1.686814396417457544e+02 1.505845898398816280e+04 
5.35826000e+02 5.32148920e-03 9.845316293956486334e+03 1.750303654093464161e+02 1.545003793135658270e+04 
5.30126000e+02 5.86065502e-03 9.264223717638622475e+03 1.572329402288913798e+02 1.584161687872500443e+04 
5.32992000e+02 4.99864298e-03 8.752743459346878808e+03 1.828288080627983732e+02 1.623319582609342615e+04 
5.62652000e+02 7.16398916e-03 8.926217143557403688e+03 1.365104769161528111e+02 1.662477477346184605e+04 
6.01201000e+02 6.08004529e-03 9.099690827767930386e+03 1.718788979687843721e+02 1.701635372083026596e+04 
6.26439000e+02 6.30187441e-03 9.058136046766743675e+03 1.727880767385103979e+02 1.740793266819868950e+04 
5.69192000e+02 6.90886622e-03 7.876434243954411613e+03 1.431987864619780169e+02 1.779951161556710940e+04 
7.25622000e+02 7.61065016e-03 9.604886273338228420e+03 1.657143925279840744e+02 1.819109056293552931e+04 
7.72130000e+02 8.02214323e-03 9.793585564610035362e+03 1.672845260884379570e+02 1.858266951030395285e+04 
8.34203000e+02 1.00178310e-02 9.738280579149799451e+03 1.447020725872883986e+02 1.937836188460620906e+04 
6.10888000e+02 5.53781499e-03 6.850085842257918557e+03 1.917541278824696178e+02 1.976994083197463260e+04 
6.95742000e+02 6.83585588e-03 7.496872888872007024e+03 1.769088338284297492e+02 2.016151977934305251e+04 
6.80605000e+02 7.57789544e-03 7.059107202478607178e+03 1.561053628554302577e+02 2.055309872671147605e+04 
9.26222000e+02 8.83941929e-03 9.245749813410353454e+03 1.821040496198727396e+02 2.094467767407989595e+04 
8.94275000e+02 8.95395573e-03 8.603724394108045090e+03 1.735721390040416452e+02 2.133625662144831585e+04 
8.40265000e+02 7.32101702e-03 7.791186868504346421e+03 1.994927574521108795e+02 2.172783556881673576e+04 
9.94332000e+02 9.10345340e-03 8.898802444989300056e+03 1.898208557892195358e+02 2.211941451618515930e+04 
3.91066000e+02 3.38865350e-03 6.687858255956076391e+03 1.767009108347038762e+02 1.507099346355357920e+04 
4.67982000e+02 4.46979601e-03 8.237875315942128509e+03 1.743582102989642806e+02 1.546257241092200093e+04 
4.81831000e+02 6.03836124e-03 8.411349000152655208e+03 1.387014963035222763e+02 1.585415135829042265e+04 
5.16557000e+02 6.65655950e-03 8.584822684363181907e+03 1.348843102238513154e+02 1.624573030565884255e+04 
5.40931000e+02 5.45987972e-03 8.570328980796517499e+03 1.722182817470089162e+02 1.663730925302726246e+04 
5.18569000e+02 5.70254571e-03 7.843820257293059512e+03 1.580709133259562691e+02 1.702888820039568600e+04 
6.30624000e+02 6.24896107e-03 9.105243736994760184e+03 1.754157400740475339e+02 1.742046714776410590e+04 
6.72031000e+02 5.90714488e-03 9.278717421205286882e+03 1.977547041662357685e+02 1.781204609513252581e+04 
5.04350000e+02 6.09467375e-03 6.676612158047392768e+03 1.438419084207984895e+02 1.820362504250094935e+04 
7.66205000e+02 8.45080779e-03 9.707601065251014006e+03 1.575754442578678720e+02 1.859520398986936925e+04 
8.06637000e+02 8.09608973e-03 9.799138473836865160e+03 1.731640687294407144e+02 1.898678293723778916e+04 
7.21890000e+02 7.01784361e-03 7.954422711209645058e+03 1.787964968894468143e+02 1.993637608156256829e+04 
6.53072000e+02 6.15055677e-03 6.923818447451714746e+03 1.845679756608340369e+02 2.032795502893099183e+04 
7.20487000e+02 6.67853169e-03 7.349728378601384975e+03 1.875193601442192062e+02 2.071953397629941173e+04 
8.69158000e+02 7.91542254e-03 8.537714994135165398e+03 1.908482792557564949e+02 2.111111292366783164e+04 
7.85291000e+02 9.44461194e-03 7.444239500083293024e+03 1.444933398964051321e+02 2.150269187103625154e+04 
8.33657000e+02 8.72317999e-03 7.617713184293819722e+03 1.660903845189143908e+02 2.189427081840467508e+04 
9.35610000e+02 8.88303666e-03 8.249121413850813042e+03 1.830455391562921932e+02 2.228584976577309499e+04 
4.96999000e+02 4.23545950e-03 8.870912158097169595e+03 1.924190732415845559e+02 1.523742871314151671e+04 
4.54001000e+02 5.09976151e-03 8.095945232568989013e+03 1.535138100836898616e+02 1.562900766050993843e+04 
5.38325000e+02 5.25324510e-03 9.187180012619435729e+03 1.778950524042274424e+02 1.602058660787835834e+04 
4.43984000e+02 4.62004090e-03 7.002781010180333396e+03 1.615261189471142984e+02 1.641216555524677824e+04 
6.23211000e+02 6.80325873e-03 9.671842609745959635e+03 1.592246233021139687e+02 1.680374450261520178e+04 
5.95806000e+02 5.75148573e-03 8.832028973767504795e+03 1.800704936399199596e+02 1.719532344998362169e+04 
6.35713000e+02 6.20294641e-03 9.005502657978029674e+03 1.781435678621335228e+02 1.758690239735204159e+04 
6.98331000e+02 7.06838911e-03 9.463437203324496295e+03 1.717228126789205191e+02 1.797848134472046513e+04 
7.20640000e+02 6.96419019e-03 9.352450026399083072e+03 1.798617609490366931e+02 1.837006029208888503e+04 
6.84132000e+02 6.69968830e-03 8.513300151150613601e+03 1.774942914503077134e+02 1.876163923945730494e+04 
6.44977000e+02 6.33006373e-03 7.702960559743885824e+03 1.771089811093047786e+02 1.915321818682572484e+04 
7.33186000e+02 7.22743558e-03 8.405796090925825411e+03 1.763249188437735597e+02 1.954479713419414838e+04 
6.14480000e+02 5.68347545e-03 6.655833641759279999e+03 1.879369418027986853e+02 2.011461681781891821e+04 
8.84789000e+02 9.31532534e-03 9.217859526518221173e+03 1.650629610523774318e+02 2.050619576518733811e+04 
6.86102000e+02 6.82500667e-03 6.881629443095304850e+03 1.747348627152687754e+02 2.089777471255575801e+04 
8.96139000e+02 8.73623294e-03 8.658555289556978096e+03 1.782717048205319657e+02 2.128935365992417792e+04 
7.52351000e+02 7.32781736e-03 7.009065822901779939e+03 1.784539928604703221e+02 2.168093260729260146e+04 
