#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
5.79484000e+02 6.15367438e-03 7.92096336e+03 1.63686616e+02 1.79077126e+04 
5.92097000e+02 6.13775071e-03 7.97162056e+03 1.67683693e+02 1.80429853e+04 
6.08421000e+02 6.53835328e-03 8.06897464e+03 1.61747081e+02 1.81782580e+04 
6.45169000e+02 6.86756589e-03 8.42853827e+03 1.63291257e+02 1.83135308e+04 
6.46486000e+02 6.92154282e-03 8.32235546e+03 1.62348183e+02 1.84488035e+04 
6.58323000e+02 7.06975994e-03 8.35143608e+03 1.61853164e+02 1.85840762e+04 
6.60826000e+02 7.12067915e-03 8.26242819e+03 1.61306368e+02 1.87193489e+04 
6.77142000e+02 7.04303614e-03 8.34434046e+03 1.67111615e+02 1.88546217e+04 
6.71718000e+02 7.22594498e-03 8.16067246e+03 1.61574603e+02 1.89898944e+04 
7.07518000e+02 7.25284552e-03 8.47265469e+03 1.69555252e+02 1.91251671e+04 
6.84901000e+02 7.36112596e-03 8.08836605e+03 1.61719270e+02 1.92604399e+04 
5.94924000e+02 6.12533883e-03 7.96279183e+03 1.68826279e+02 1.80958249e+04 
6.08462000e+02 6.10141721e-03 8.02271910e+03 1.73344547e+02 1.82310977e+04 
6.10649000e+02 6.51422102e-03 7.93330923e+03 1.62941089e+02 1.83663704e+04 
6.34931000e+02 6.64319083e-03 8.12724579e+03 1.66130252e+02 1.85016431e+04 
6.39507000e+02 6.76567122e-03 8.06731852e+03 1.64296800e+02 1.86369159e+04 
6.52582000e+02 6.57306492e-03 8.11309105e+03 1.72570966e+02 1.87721886e+04 
6.91918000e+02 6.94296937e-03 8.47785778e+03 1.73220706e+02 1.89074613e+04 
7.08800000e+02 7.43335542e-03 8.56206456e+03 1.65734893e+02 1.90427340e+04 
7.11244000e+02 7.62759675e-03 8.47129063e+03 1.62069439e+02 1.91780068e+04 
7.24029000e+02 7.48422037e-03 8.50213728e+03 1.68144764e+02 1.93132795e+04 
6.29868000e+02 6.73883493e-03 8.55599049e+03 1.62464798e+02 1.79605522e+04 
6.18357000e+02 6.54621308e-03 8.12890191e+03 1.64190718e+02 1.82577195e+04 
6.19806000e+02 6.53303411e-03 8.02843878e+03 1.64908434e+02 1.83929922e+04 
6.40773000e+02 6.71398136e-03 8.17822142e+03 1.65889797e+02 1.85282649e+04 
6.49788000e+02 6.73881163e-03 8.17301832e+03 1.67604460e+02 1.86635377e+04 
6.61140000e+02 7.03083411e-03 8.19642685e+03 1.63446161e+02 1.87988104e+04 
6.76654000e+02 6.84426406e-03 8.26814787e+03 1.71843984e+02 1.89340831e+04 
