#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
6.08900000e+02 6.14158371e-03 7.934306451802858646e+03 1.723352260350749532e+02 1.833894886712717926e+04 
6.28897000e+02 6.59588727e-03 8.074236259369085928e+03 1.657317026046973467e+02 1.847422159439990719e+04 
6.30170000e+02 6.46969429e-03 7.973214333235494450e+03 1.693075733453129317e+02 1.860949432167263512e+04 
6.54991000e+02 6.86488729e-03 8.167115708945433653e+03 1.658421691009937149e+02 1.874476704894536306e+04 
6.53556000e+02 6.98185704e-03 8.033141605962767244e+03 1.627053433326355218e+02 1.888003977621808735e+04 
6.80286000e+02 6.88109815e-03 8.241543155771752936e+03 1.718407935137882419e+02 1.901531250349081529e+04 
6.95219000e+02 7.34928907e-03 8.304133359317729628e+03 1.644203006180402156e+02 1.915058523076354322e+04 
7.10240000e+02 7.28753512e-03 8.364060632045002421e+03 1.693971571501518838e+02 1.928585795803627116e+04 
6.13611000e+02 6.42321869e-03 8.361397701226298523e+03 1.660512510074682950e+02 1.793313068530899909e+04 
6.32113000e+02 6.52902580e-03 8.483915177499548008e+03 1.682858054646300729e+02 1.806840341258172703e+04 
6.39265000e+02 6.71668087e-03 8.452632515053675888e+03 1.654328676404642806e+02 1.820367613985445132e+04 
6.18354000e+02 6.46044183e-03 7.944569722954093777e+03 1.663707978780900874e+02 1.846821060978487003e+04 
6.32585000e+02 6.58600318e-03 8.008890868013942963e+03 1.669535207865155257e+02 1.860348333705759796e+04 
6.51149000e+02 6.65368876e-03 8.124351541135912157e+03 1.701052647305864696e+02 1.873875606433032226e+04 
6.88513000e+02 7.19015244e-03 8.466752072581797620e+03 1.664398101851319325e+02 1.887402879160305019e+04 
6.68127000e+02 6.99082310e-03 8.100164242245717105e+03 1.661194346160492898e+02 1.900930151887577813e+04 
7.01790000e+02 7.31012221e-03 8.387471836362938120e+03 1.668639369816765736e+02 1.914457424614850606e+04 
7.14586000e+02 7.64846904e-03 8.421324973953571316e+03 1.623857964620137579e+02 1.927984697342123400e+04 
6.07198000e+02 6.34941517e-03 8.279946060427535485e+03 1.662261351259840296e+02 1.792711970069396193e+04 
6.27933000e+02 6.64674175e-03 8.433799895732721779e+03 1.642110494586461016e+02 1.806239242796668623e+04 
6.23363000e+02 6.56669092e-03 8.248599958923034137e+03 1.650043169441658506e+02 1.819766515523941416e+04 
6.55233000e+02 6.78421359e-03 8.541179519408116903e+03 1.678765040041006671e+02 1.833293788251214210e+04 
6.60074000e+02 7.02151222e-03 8.399800605882081072e+03 1.633985327373573568e+02 1.855489677806127293e+04 
6.58952000e+02 6.81061482e-03 8.264273047249420415e+03 1.681753389683337048e+02 1.869016950533400086e+04 
6.50384000e+02 6.61083064e-03 8.040236969518444312e+03 1.710067073433220344e+02 1.882544223260672516e+04 
6.86796000e+02 7.08194067e-03 8.368454504377579724e+03 1.685630709796856763e+02 1.896071495987945309e+04 
6.79216000e+02 7.29091046e-03 8.160091514972989899e+03 1.619223714901389997e+02 1.909598768715218102e+04 
6.86759000e+02 7.05916027e-03 8.134163532096358722e+03 1.690983221859188461e+02 1.923126041442490896e+04 
6.12928000e+02 6.36255579e-03 8.403185495227466163e+03 1.674479533078022371e+02 1.787853314169763689e+04 
