#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
5.77359000e+02 6.22195927e-03 7.936282150652959899e+03 1.612956663553677004e+02 1.785773448934428234e+04 
5.81198000e+02 5.95005588e-03 7.911168397429939432e+03 1.697910482792306084e+02 1.794526390110898501e+04 
5.95196000e+02 6.39236174e-03 8.022206311612521858e+03 1.618451011680437261e+02 1.803279331287369132e+04 
6.41349000e+02 6.90054235e-03 8.558540396225338554e+03 1.615481576148305010e+02 1.812032272463839763e+04 
6.10206000e+02 6.56426422e-03 8.066274279782880512e+03 1.615809811472412889e+02 1.820785213640310394e+04 
6.19100000e+02 6.33449851e-03 8.105050750371116010e+03 1.698842520414432045e+02 1.829538154816781025e+04 
6.28050000e+02 6.69501318e-03 8.143827220959350598e+03 1.630570367633571891e+02 1.838291095993251656e+04 
6.61314000e+02 7.10383495e-03 8.492815456253469165e+03 1.618076943337011357e+02 1.847044037169722287e+04 
6.62704000e+02 7.11990491e-03 8.430535807968342851e+03 1.617824603927220721e+02 1.855796978346192918e+04 
6.55432000e+02 7.03733154e-03 8.260156632724056180e+03 1.618851659262894316e+02 1.864549919522663185e+04 
6.73118000e+02 7.23598688e-03 8.403434513872396565e+03 1.616870238130734094e+02 1.873302860699133817e+04 
6.47765000e+02 6.92295880e-03 8.012597427105220049e+03 1.626356894033378353e+02 1.882055801875604448e+04 
6.83649000e+02 6.98661997e-03 8.376486044488763582e+03 1.700812408945439529e+02 1.890808743052075079e+04 
6.93164000e+02 7.31925998e-03 8.415262515076998170e+03 1.646071979837153947e+02 1.899561684228545710e+04 
7.04776000e+02 7.52629628e-03 8.477915074164044199e+03 1.627577666721645073e+02 1.908314625405016341e+04 
7.12009000e+02 7.67027435e-03 8.486975054424652626e+03 1.613402621542445274e+02 1.917067566581486972e+04 
6.92284000e+02 7.44559212e-03 8.177312193965463848e+03 1.616070635890747269e+02 1.925820507757957603e+04 
6.15197000e+02 6.24139793e-03 8.293641605730170340e+03 1.713321599915731213e+02 1.802933008285457981e+04 
5.97237000e+02 6.37485941e-03 7.975058621241195397e+03 1.628455620386865235e+02 1.811685949461928612e+04 
6.22306000e+02 6.67797694e-03 8.228697021554220555e+03 1.619783696885020277e+02 1.820438890638399243e+04 
6.32953000e+02 6.78013111e-03 8.289070183107362027e+03 1.622664485280630799e+02 1.829191831814869875e+04 
6.25490000e+02 6.73428535e-03 8.113888833967463142e+03 1.614448450425389296e+02 1.837944772991340506e+04 
6.36733000e+02 6.81170238e-03 8.181069443410087842e+03 1.624776120483675186e+02 1.846697714167811137e+04 
6.47856000e+02 6.97364301e-03 8.245256250634633034e+03 1.614758602927689708e+02 1.855450655344281768e+04 
6.51987000e+02 6.96235622e-03 8.219845913998322430e+03 1.627689579237961368e+02 1.864203596520752035e+04 
6.80401000e+02 7.27327839e-03 8.497185792894859333e+03 1.625982825689952449e+02 1.872956537697222666e+04 
6.70607000e+02 7.16519599e-03 8.297398855174793425e+03 1.626757541615835407e+02 1.881709478873693297e+04 
6.79732000e+02 7.28237830e-03 8.332418076318404928e+03 1.622354332778330388e+02 1.890462420050163928e+04 
6.55647000e+02 7.01996505e-03 7.963938879238640766e+03 1.623387458501246101e+02 1.899215361226634559e+04 
6.74083000e+02 7.21580419e-03 8.112367609789514063e+03 1.623715693825353981e+02 1.907968302403105190e+04 
7.01996000e+02 7.50828878e-03 8.370645642659945224e+03 1.625053384786891115e+02 1.916721243579575821e+04 
7.15487000e+02 7.68987118e-03 8.454038985665232758e+03 1.617147502433950024e+02 1.925474184756046452e+04 
7.00449000e+02 7.51662250e-03 8.201798843044580281e+03 1.619671784368703982e+02 1.934227125932517083e+04 
6.27289000e+02 6.71403545e-03 8.538908786260102715e+03 1.623976518243688361e+02 1.794180067108987350e+04 
6.26862000e+02 6.67258022e-03 8.390480055709229418e+03 1.632959267139832207e+02 1.809362359570568151e+04 
